STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750715,79,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750716,86,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750717,87,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750718,87,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750719,82,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750720,81,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750721,82,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750722,88,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750723,88,67
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750724,88,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750725,88,65
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750726,83,62
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750727,85,61
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750728,89,62
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750729,89,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750730,89,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750731,91,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750801,89,71
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750802,88,73
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750803,86,72
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750804,81,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750805,86,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750806,86,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750807,78,57
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750808,77,56
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750809,84,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750810,87,65
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750811,87,62
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750812,88,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750813,89,72
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750814,89,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750815,85,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750816,85,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750817,81,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750818,84,65
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750819,85,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750820,86,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750821,88,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750822,90,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750823,92,72
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750824,92,72
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750825,91,71
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750826,89,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750827,82,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750828,88,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750829,88,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750830,89,67
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750831,79,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750901,71,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750902,82,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750903,88,64
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750904,91,64
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750905,84,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750906,85,57
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750907,76,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750908,80,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750909,83,56
